epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,3549.69,1.63622,1.42695,1.07259,0.24595,0.1368,0.10012,0.06101,1.55857,1.62153,1.07495,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3588.4,1.58518,1.41549,1.07188,0.28571,0.13554,0.10229,0.06194,1.56246,1.62097,1.0766,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3626.06,1.57751,1.38192,1.06898,0.27539,0.13542,0.10087,0.06126,1.56423,1.62321,1.07659,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3663.71,1.57242,1.37469,1.0708,0.27162,0.13252,0.101,0.06153,1.56321,1.62416,1.07558,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3701.61,1.56439,1.35463,1.06628,0.26953,0.13281,0.09983,0.06075,1.56256,1.62592,1.07563,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3739.5,1.56418,1.33783,1.06591,0.29187,0.12902,0.09877,0.06008,1.56283,1.626,1.07564,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3777.41,1.5771,1.34839,1.06504,0.29464,0.12875,0.09899,0.06002,1.56221,1.6259,1.07592,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3815.04,1.56112,1.32297,1.06182,0.29056,0.12881,0.09888,0.06022,1.56303,1.62722,1.07578,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3852.93,1.5646,1.32889,1.06693,0.29466,0.12643,0.09883,0.06027,1.56249,1.6292,1.07541,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3890.63,1.55892,1.32529,1.06154,0.29699,0.12564,0.09882,0.06026,1.56136,1.63088,1.07553,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3928.33,1.56241,1.31856,1.06349,0.30011,0.12149,0.09758,0.05929,1.56205,1.63424,1.07526,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
